CAS_RN,시설,농도
000115-96-8,Day-care center,1.35
013674-84-5,Day-care center,4.65
028553-12-0,Classroom,3870
028553-12-0,Nursery school,1090
028553-12-0,Home ,131.5
028553-12-0,Home ,1309
028553-12-0,Nursery school,3286
028553-12-0,Day-care center,4173
000117-81-7,Classroom,2190
000117-81-7,Kindergarten,591
000117-81-7,Primary school,418
000117-81-7,Old Apt,403
000117-81-7,Newly Apt,259
000117-81-7,Nursery school,3950
000117-81-7,Home ,1027.6
000117-81-7,Indoor playground,389.27
000117-81-7,Play room,398.76
000117-81-7,Day-care center,358.23
000117-81-7,Kindergarten,375.27
000117-81-7,Home ,1721
000117-81-7,Nursery school,1052
000117-81-7,Day-care center,5335
000084-66-2,Classroom,32.9
000084-66-2,Old Apt,1
000084-66-2,Newly Apt,3
000084-66-2,Indoor playground,19.46
000084-66-2,Play room,50.82
000084-66-2,Day-care center,13.37
000084-66-2,Kindergarten,52.87
000084-66-2,Kindergarten,216
000084-66-2,Primary school,181
000084-66-2,Old Apt,226
000084-66-2,Newly Apt,233
000084-66-2,Indoor playground,118.56
000084-66-2,Play room,90.75
000084-66-2,Day-care center,107.76
000084-66-2,Kindergarten,116.56
000084-66-2,Home ,178
000084-66-2,Nursery school,4473
000084-66-2,Day-care center,262
