,kinder_1,kinder_2,kinder_3,kinder_4,kinder_5,kinder_6,kinder_7,kinder_8,kinder_9,home_1,home_2,home_3,home_4,school_1,school_2,work_1
가정용의자,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
서랍장,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
신발장,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
가정용책상,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
침대,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
부엌가구,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
프린터,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
청소기,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
냉장고,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
학교책상,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
학교사물함,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
학교의자,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
TV,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
컴퓨터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
모니터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
사무용책상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
사무용의자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
